,BLS_Period_1_0,BLS_Tc_1_0,BLS_SN_1_0,BLS_SR_1_0,BLS_SDE_1_0,BLS_Depth_1_0,BLS_Qtran_1_0,BLS_Qingress_1_0,BLS_OOTmag_1_0,BLS_i1_1_0,BLS_i2_1_0,BLS_deltaChi2_1_0,BLS_fraconenight_1_0,BLS_Npointsintransit_1_0,BLS_Ntransits_1_0,BLS_Npointsbeforetransit_1_0,BLS_Npointsaftertransit_1_0,BLS_Rednoise_1_0,BLS_Whitenoise_1_0,BLS_SignaltoPinknoise_1_0,Ids,Depth,Catalog_Period,Catalog_Epoch,SNR,CatalogY,ManuleY,CombinedY,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
13418,3.86585354,2457828.96123,3.02753,0.00044,3.02784,0.00204,0.04597,0.16261,6.5528,0.47895,0.52492,-9.15796,0.64842,26.0,3.0,25.0,26.0,0.00045,0.00141,5.36025,13419,0.0001545,5.37492,2545966.31,0.267601849769,0.0,0.0,0,-0.680323851828,-0.00490541952857,0.036326674324,-0.00683281930018,-0.0612655719552,-0.00198713897241,-0.0358580643744,-0.0284903151809,-0.0100206927533,0.0548155021332,0.0655457598303,0.0906364741354,-0.0630561394963,0.0384237544365,-0.124475208375,-0.111666895163,-0.0785904616925,0.00448493413654,-0.000677896786647,0.0218852892259
13419,1.08188607,2457827.58022,4.03344,0.00051,4.67383,0.00569,0.01681,0.21433,7.37657,0.50864,0.52545,-9.24196,0.37297,8.0,8.0,7.0,7.0,0.0,0.00227,7.08662,13420,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.0739352931034,0.00730952320377,0.0164638148585,-0.0258827968424,-0.00903561592307,0.0416543045404,-0.0245855454397,0.0152818607327,0.0855715775282,0.0674989598319,-0.109562503898,0.0235472914611,0.000461755213832,-0.0951279959997,-0.14964376343,0.0391145200283,-0.112391849324,-0.173107483733,0.186287115018,-0.117802874422
13422,1.75669527,2457828.40437,3.38066,0.00073,3.58657,0.00598,0.02,0.19081,8.09313,0.77758,0.79758,-13.12899,0.59366,9.0,5.0,8.0,8.0,0.0,0.00334,5.38155,13423,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.45352802028,-0.00501895772492,-0.0122509972637,-0.0296395188468,0.0143969088265,-0.123343476353,0.0272136490431,0.0155680847838,-0.057120811639,-0.0598844819158,-0.120306880213,-0.0207747535199,-0.236170406593,0.112497559826,0.0107770571139,0.20657715967,-0.0726702241041,-0.0808450680259,-0.325185957025,-0.155987017559
13426,4.50053163,2457828.08448,2.78142,0.00049,2.78142,0.00146,0.36055,-0.45238,5.86167,0.05606,0.41661,-1.75752,0.54212,189.0,3.0,135.0,155.0,0.00013,0.00124,12.37867,13427,0.0,-1.0,0.0,0.0,0.0,0.0,0,-1.18870757862,-0.00836945057901,0.0277811469423,0.063282658506,-0.085850005927,-0.0215076753464,0.0486362775359,-0.0175332755386,-0.10746675929,0.0333810870636,0.429324927483,0.143092552188,-0.084838832921,0.049637448398,-0.0121777931498,0.110712994432,-0.202499610884,-0.142423804516,0.0825475169713,0.0403265836146
13438,4.4376203,2457828.13301,3.79041,0.00036,3.89063,0.00161,0.06055,0.20181,6.61785,0.22035,0.2809,-2.65335,0.49758,32.0,3.0,36.0,26.0,0.00034,0.0013,5.3512,13439,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.63246583433,0.0114215871147,0.0217643681486,0.016247453211,-0.0220429510549,-0.00569335137045,0.0369150793999,-0.00158193095825,0.00718304829581,0.0608004557089,0.150364656316,-0.0745985422306,-0.0662588472434,-0.0149795213887,-0.00609921096097,0.00144992872511,0.0519719473371,-0.163529419846,0.0869665379383,0.0623218865646
13446,3.76486312,2457828.50235,3.19799,0.00266,3.2734,0.02931,0.01094,0.24906,8.95637,0.38804,0.39898,-12.55947,0.67398,6.0,3.0,6.0,6.0,0.0,0.01273,5.64056,13447,0.0001747,4.11492,2545968.327,0.302589276082,0.0,0.0,0,1.08918088609,-0.0559693797151,-0.0401451042266,-0.182068998414,-0.0154182971743,0.203090964288,-0.164658096425,-0.386600837569,0.656106490863,-0.327560172947,-0.85562915862,0.377522281872,-0.186891812923,-0.267442196195,1.31007237278,0.106294119903,0.535301040496,0.929792728645,0.920361071373,0.437438481548
13448,4.86698992,2457828.07864,3.46105,0.00024,3.48491,0.00077,0.1531,0.1313,5.86033,0.1408,0.29389,-1.42123,0.73777,72.0,2.0,83.0,72.0,0.00016,0.00085,5.02809,13449,0.0,-1.0,0.0,0.0,0.0,0.0,0,-1.19009355641,0.00200717880938,0.0322085786111,0.0163079345706,-0.0480602385205,-0.00286181126054,-0.0153848924718,-0.027594201447,0.0114220365594,0.00105760392532,0.0506918969879,0.0801371755832,-0.00293473683622,0.0439866118992,0.0108213970276,-0.0614379249266,-0.0241857287456,-0.036607011423,-0.00538093541489,-0.0125649779849
13451,5.48401736,2457828.38736,3.59736,0.00031,4.02742,0.00098,0.10856,0.19313,6.98888,0.1949,0.30346,-5.624,0.46878,57.0,2.0,58.0,57.0,3e-05,0.00134,5.51556,13452,0.0,-1.0,0.0,0.0,0.0,0.0,0,-0.359298063603,0.0138063841828,0.0114454620431,-0.0198429976458,-0.0362204408444,-0.0114836827111,-0.042876103186,-0.0105651140401,-0.0120650280215,-0.0778408113902,-0.0621198988345,0.00630021685332,0.000801195300775,0.00749327983826,0.0148786279936,-0.101860784435,0.0339150322562,0.0192407592518,0.05591799389,-0.0629281748472
13452,1.55712567,2457828.49557,3.86254,0.00328,4.31294,0.02535,0.01963,0.13585,8.58015,0.93727,0.95691,-13.19664,0.2996,9.0,6.0,9.0,7.0,0.0,0.01543,4.92851,13453,0.0,-1.0,0.0,0.0,0.0,0.0,0,0.812027660288,-0.145140777674,-0.0632588507913,0.0494040014865,-0.394965893656,-0.215506991786,0.22672811535,-0.160697040828,0.273346496635,-0.491077060431,0.827730005277,0.698616853142,-0.413571417122,-0.435500806968,0.515388087906,1.74029208331,-1.28541818466,0.415055856352,0.501539470809,-0.564066485815
13458,1.91128674,2457828.2426,4.10707,0.00358,4.66164,0.05372,0.01068,0.28201,9.25294,0.6339,0.64458,-22.42725,0.38882,5.0,5.0,5.0,5.0,0.0,0.01571,7.64424,13459,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.30747923224,0.053383985839,0.233055935555,-0.150669920379,-0.0936521407701,-0.173731961955,-0.0472444304913,-0.00210697566689,-0.35914246302,-0.203331801456,0.751074739561,-0.571703555204,-0.0194774578507,-0.687248869064,-1.29112661862,0.289559547661,0.501626081963,-0.696964912768,-1.31983112672,-0.494904201616
13459,1.1123282,2457828.08329,3.57882,0.00148,3.78636,0.01544,0.01078,0.23206,8.85982,0.94978,0.96056,-14.55673,0.27648,6.0,6.0,5.0,4.0,0.0,0.00751,5.03464,13460,0.0,-1.0,0.0,0.0,0.0,0.0,0,1.01801528875,0.0318084343476,-0.075900148843,-0.0789383562054,0.145308498024,0.103016502004,0.0789836394003,0.101135862499,0.313398946731,-0.265981677187,0.403008200151,-0.0459432108716,0.196273867309,-0.447317302563,0.149626593867,-0.634007749963,0.222831616342,-0.245343714235,-0.712953040015,-0.0978660283503
13460,3.8295819,2457827.15827,3.63571,0.00102,3.85577,0.0107,0.01021,0.23893,8.39028,0.03078,0.04099,-14.72685,0.42123,6.0,3.0,6.0,6.0,0.0,0.00496,5.29068,13461,0.0009291,10.132,2545965.91,1.60924840531,0.0,0.0,0,0.672365812225,-0.00696491686024,-0.10987469855,-0.0121712847367,0.143660913459,0.0339421452361,0.00900960444937,-0.0886879940506,0.181557346024,-0.0603615845333,0.0628397601123,0.0716274077878,-0.126865055541,0.0468153707304,0.0249993043922,-0.450759279347,0.0386132241731,0.294085415768,0.103629930166,-0.572835458973
